Hosted payload number (HPL),REACH pod serial number,Model #,A dosimeter (U1 in traveler) mallory shielding (mils),B dosimeter (U2 in traveler) Mallory shielding (mils),"A dosimeter type (0=NuDOS, 1 = uDOS with standard 100 keV threshold, 2 = uDOS hi-LET 1 MeV threshold","B dosimeter type (0=NuDOS, 1 = uDOS with standard 100 keV threshold, 2 = uDOS hi-LET 1 MeV threshold",Manufacture batch #,"Manufacturer (A=Aerospace, M=MEI)","Temperature sensitivity (43-65 deg C; 0=no, 1=yes)",Notes,A Dosimeter Flavor,B Dosimeter Flavor,A dosimeter Nominal Electron Threshold MeV,A Dosimeter Nominal proton threshold MeV,B dosimeter nominal electron threshold MeV,B dosimeter nominal proton threshold MeV,A dosimeter equivalent mils Al,B dosimeter equivalent mils Al,Placeholder 9,Placeholder 10
,0,0,0,0,1,1,0,A,0,Qual model,,,,,,,,,,
171,1,0,0,0,1,0,5,M,0,,X,Z,0.36,12,0.05,0.2,32,0,,
169,2,0,0,0,1,0,5,M,0,,X,Z,0.36,12,0.05,0.2,32,0,,
181,3,0,0,0,1,0,5,M,0,,X,Z,0.36,12,0.05,0.2,32,0,,
180,4,0,0,0,1,0,5,M,0,,X,Z,0.36,12,0.05,0.2,32,0,,
170,5,0,0,0,1,0,5,M,0,,X,Z,0.36,12,0.05,0.2,32,0,,
172,6,0,0,0,1,0,5,M,0,,X,Z,0.36,12,0.05,0.2,32,0,,
108,65,1,0,0,1,2,1,A,1,,X,W,0.36,12,NaN,12,32,32,,
114,66,1,0,0,1,2,1,A,1,,X,W,0.36,12,NaN,12,32,32,,
101,67,1,0,0,1,2,1,A,0,,X,W,0.36,12,NaN,12,32,32,,
133,68,1,0,0,1,2,2,A,0,,X,W,0.36,12,NaN,12,32,32,,
115,69,1,0,0,1,2,2,A,0,,X,W,0.36,12,NaN,12,32,32,,
136,70,1,0,0,1,2,2,A,0,,X,W,0.36,12,NaN,12,32,32,,
135,71,1,0,0,1,2,2,A,0,,X,W,0.36,12,NaN,12,32,32,,
137,72,1,0,0,1,2,3,A,0,,X,W,0.36,12,NaN,12,32,32,,
149,73,1,0,0,1,2,3,A,0,,X,W,0.36,12,NaN,12,32,32,,
139,74,1,0,0,1,2,3,A,0,,X,W,0.36,12,NaN,12,32,32,,
162,75,1,0,0,1,2,4,M,0,,X,W,0.36,12,NaN,12,32,32,,
164,76,1,0,0,1,2,4,M,0,,X,W,0.36,12,NaN,12,32,32,,
173,77,1,0,0,1,2,4,M,0,,X,W,0.36,12,NaN,12,32,32,,
176,78,1,0,0,1,2,4,M,0,,X,W,0.36,12,NaN,12,32,32,,
102,129,2,24,56,1,1,1,A,0,,Y,V,1.6,31,3.41,47,183,383,,
113,130,2,24,56,1,1,1,A,0,,Y,V,1.6,31,3.41,47,183,383,,
116,131,2,24,56,1,1,2,A,0,,Y,V,1.6,31,3.41,47,183,383,,
148,132,2,24,56,1,1,3,A,0,,Y,V,1.6,31,3.41,47,183,383,,
140,133,2,24,56,1,1,3,A,0,,Y,V,1.6,31,3.41,47,183,383,,
163,134,2,24,56,1,1,4,M,0,,Y,V,1.6,31,3.41,47,183,383,,
166,135,2,24,56,1,1,4,M,0,,Y,V,1.6,31,3.41,47,183,383,,
105,193,3,24,80,1,1,1,A,1,,Y,U,1.6,31,4.97,57,183,533,,
175,194,3,24,80,1,1,2,A,0,,Y,U,1.6,31,4.97,57,183,533,,
138,195,3,24,80,1,1,3,A,0,,Y,U,1.6,31,4.97,57,183,533,,
134,196,3,24,80,1,1,4,M,0,,Y,U,1.6,31,4.97,57,183,533,,
165,197,3,24,80,1,1,4,M,0,,Y,U,1.6,31,4.97,57,183,533,,
